Field no,Field Name,Group,Condition,Status,Action,Allowed
3.3.5,context,Partner User,partner_court,Draft,Edit,TRUE
,has_data_processing_agreement,Unicef Focal Point,,Draft,Edit,TRUE
,has_data_processing_agreement,Partner User,,Draft,Edit,TRUE
,has_data_processing_agreement,Unicef Focal Point,,Review,Edit,TRUE
,has_data_processing_agreement,Partner User,,Review,Edit,TRUE
,has_data_processing_agreement,Unicef Focal Point,,pending_approval,Edit,TRUE
,has_data_processing_agreement,Partner User,,pending_approval,Edit,TRUE
,has_data_processing_agreement,Unicef Focal Point,,Approved,Edit,TRUE
,has_data_processing_agreement,Unicef Focal Point,,Active,Edit,TRUE
,has_data_processing_agreement,Unicef Focal Point,,Ended,Edit,TRUE
,has_data_processing_agreement,Unicef Focal Point,,Suspended,Edit,TRUE
,has_activities_involving_children,Unicef Focal Point,,Draft,Edit,TRUE
,has_activities_involving_children,Partner User,,Draft,Edit,TRUE
,has_activities_involving_children,Unicef Focal Point,,Review,Edit,TRUE
,has_activities_involving_children,Partner User,,Review,Edit,TRUE
,has_activities_involving_children,Unicef Focal Point,,pending_approval,Edit,TRUE
,has_activities_involving_children,Partner User,,pending_approval,Edit,TRUE
,has_activities_involving_children,Unicef Focal Point,,Approved,Edit,TRUE
,has_activities_involving_children,Unicef Focal Point,,Active,Edit,TRUE
,has_activities_involving_children,Unicef Focal Point,,Ended,Edit,TRUE
,has_activities_involving_children,Unicef Focal Point,,Suspended,Edit,TRUE
,has_special_conditions_for_construction,Unicef Focal Point,,Draft,Edit,TRUE
,has_special_conditions_for_construction,Partner User,,Draft,Edit,TRUE
,has_special_conditions_for_construction,Unicef Focal Point,,Review,Edit,TRUE
,has_special_conditions_for_construction,Partner User,,Review,Edit,TRUE
,has_special_conditions_for_construction,Unicef Focal Point,,pending_approval,Edit,TRUE
,has_special_conditions_for_construction,Partner User,,pending_approval,Edit,TRUE
,has_special_conditions_for_construction,Unicef Focal Point,,Approved,Edit,TRUE
,has_special_conditions_for_construction,Unicef Focal Point,,Active,Edit,TRUE
,has_special_conditions_for_construction,Unicef Focal Point,,Ended,Edit,TRUE
,has_special_conditions_for_construction,Unicef Focal Point,,Suspended,Edit,TRUE
3.5,country_programme,Unicef Focal Point,,Draft,Edit,TRUE
3.5,country_programme,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
3.5,country_programme,*,,*,Required,FALSE
,e_workplans,Unicef Focal Point,unicef_not_accepted,Draft,Edit,TRUE
,e_workplans,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
,e_workplans,*,,*,Required,FALSE
,document_currency,Unicef Focal Point,unlocked+not_in_amendment_mode,Draft,Edit,TRUE
3.9.2,end,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.9.2,end,Partner User,partner_court,Draft,Edit,TRUE
3.9.3,end,PRC Secretary,,pending_approval,Edit,TRUE
3.9.3,end,Unicef Focal Point,termination_doc_attached,Active,Edit,TRUE
3.9.5,end,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
3.9.5,final_partnership_review,UNICEF User,,*,View,TRUE
3.9.5,final_partnership_review,Unicef Focal Point,,Ended,Edit,TRUE
3.9.5,date_partnership_review_performed,UNICEF User,,*,View,TRUE
3.9.5,date_partnership_review_performed,Unicef Focal Point,,Ended,Edit,TRUE
3.9.7,flat_locations,*,,*,Required,False
3.9.5,flat_locations,*,,*,Edit,False
3.9.5,flat_locations,*,,*,View,TRUE
3.9.8,frs,UNICEF User,not_in_amendment_mode,*,View,TRUE
3.9.8,frs,Unicef Focal Point,not_in_amendment_mode,Draft,Edit,TRUE
3.10.1,frs,Unicef Focal Point,not_in_amendment_mode,Review,Edit,TRUE
3.10.1,frs,Unicef Focal Point,not_in_amendment_mode,pending_approval,Edit,TRUE
3.10.1,frs,Unicef Focal Point,not_in_amendment_mode,Approved,Edit,TRUE
3.10.1,frs,PRC Secretary,not_in_amendment_mode,Draft,Edit,TRUE
3.10.1,frs,PRC Secretary,not_in_amendment_mode,Review,Edit,TRUE
3.10.1,frs,PRC Secretary,not_in_amendment_mode,pending_approval,Edit,TRUE
3.10.1,frs,PRC Secretary,not_in_amendment_mode,Approved,Edit,TRUE
3.10.1,frs,PRC Secretary,not_in_amendment_mode,Active,Edit,TRUE
3.10.1,frs,PRC Secretary,not_in_amendment_mode,Ended,Edit,TRUE
3.10.1,frs,*,not_in_amendment_mode,Active,Required,TRUE
3.10.1,frs,*,not_in_amendment_mode,Ended,Required,TRUE
3.10.1,frs,*,,Implemented,Required,TRUE
3.10.1,frs,*,,Closed,Required,TRUE
0,equity_narrative,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
0,equity_narrative,Partner User,partner_court,Draft,Edit,TRUE
0,equity_rating,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
0,equity_rating,Partner User,partner_court,Draft,Edit,TRUE
0,gender_narrative,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
0,gender_narrative,Partner User,partner_court,Draft,Edit,TRUE
0,gender_rating,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
0,gender_rating,Partner User,partner_court,Draft,Edit,TRUE
0,sustainability_narrative,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
0,sustainability_narrative,Partner User,partner_court,Draft,Edit,TRUE
0,sustainability_rating,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
0,sustainability_rating,Partner User,partner_court,Draft,Edit,TRUE
3.12,hq_support_cost,*,,*,View,TRUE
3.12,hq_support_cost,Unicef Focal Point,,Draft,Edit,TRUE
3.12.6,implementation_strategy,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.12.6,implementation_strategy,Partner User,partner_court,Draft,Edit,TRUE
3.2.5,in_amendment,Unicef Focal Point,,Approved,Edit,TRUE
3.2.7,in_amendment,Unicef Focal Point,,Active,Edit,TRUE
3.2.8,ip_program_contribution,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.2.9,ip_program_contribution,Partner User,partner_court,Draft,Edit,TRUE
3.3.1,management_budgets,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.3.3,management_budgets,Partner User,partner_court,Draft,Edit,TRUE
3.3.5,number,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
3.4.1,number,Unicef Focal Point,,Draft,Edit,TRUE
3.4.2,number,*,,*,Required,TRUE
3.7,offices,Unicef Focal Point,,Draft,Edit,TRUE
3.7,offices,Unicef Focal Point,,Review,Edit,TRUE
3.7,offices,Unicef Focal Point,,pending_approval,Edit,TRUE
3.5,offices,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
3.6,offices,*,unicef_not_accepted,Draft,Required,FALSE
3.6,other_info,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.2.2,other_info,Partner User,partner_court,Draft,Edit,TRUE
,other_details,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
,other_details,Partner User,partner_court,Draft,Edit,TRUE
3.2.3,other_partners_involved,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.2.4,other_partners_involved,Partner User,partner_court,Draft,Edit,TRUE
3.2.5,partner_authorized_officer_signatory,*,,Draft,View,FALSE
3.2.7,partner_authorized_officer_signatory,Partner User,,pending_approval,Edit,TRUE
3.2.7,partner_authorized_officer_signatory,*,,Draft,Required,FALSE
3.2.8,partner_focal_points,*,not_in_amendment_mode,*,View,TRUE
3.2.8,partner_focal_points,*,,Closed,Edit,FALSE
3.2.8,partner_focal_points,*,in_amendment_mode,*,Edit,FALSE
3.3.1,partner_focal_points,*,unicef_not_accepted,Draft,Required,FALSE
3.3.2,key_interventions,*,,*,View,TRUE
3.3.3,key_interventions,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.3.3,key_interventions,PRC Secretary,,pending_approval,Edit,TRUE
3.3.2,key_interventions,Partner User,partner_court,Draft,Edit,TRUE
3.3.3,key_interventions,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
3.3.3,planned_budget,Unicef Focal Point,,Draft,Edit,TRUE
3.9.11,planned_budget,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
3.9.11,planned_visits,UNICEF User,not_in_amendment_mode,*,View,TRUE
3.9.11,planned_visits,Unicef Focal Point,not_in_amendment_mode,Draft,Edit,TRUE
3.9.11,planned_visits,Unicef Focal Point,not_in_amendment_mode,Review,Edit,TRUE
3.9.11,planned_visits,Unicef Focal Point,not_in_amendment_mode,pending_approval,Edit,TRUE
3.9.11,planned_visits,Unicef Focal Point,not_in_amendment_mode,Approved,Edit,TRUE
3.9.11,planned_visits,Unicef Focal Point,not_in_amendment_mode,Active,Edit,TRUE
3.9.11,planned_visits,Unicef Focal Point,not_in_amendment_mode,Suspended,Edit,TRUE
3.9.11,planned_visits,PME,not_in_amendment_mode,Draft,Edit,TRUE
3.9.11,planned_visits,PME,not_in_amendment_mode,Review,Edit,TRUE
3.9.11,planned_visits,PME,not_in_amendment_mode,pending_approval,Edit,TRUE
3.9.11,planned_visits,PME,not_in_amendment_mode,Approved,Edit,TRUE
3.9.11,planned_visits,PME,not_in_amendment_mode,Active,Edit,TRUE
3.9.11,planned_visits,PME,not_in_amendment_mode,Suspended,Edit,TRUE
3.9.11,planned_visits,*,,*,Required,FALSE
3.9.5,prc_review_attachment,*,,*,View,TRUE
3.9.6,prc_review_attachment,Unicef Focal Point,,Review,Edit,TRUE
3.9.7,prc_review_document,*,,*,View,TRUE
3.9.8,prc_review_document,Unicef Focal Point,,Review,Edit,TRUE
,prc_reviews,UNICEF User,,Draft,View,FALSE
3.13.1,reporting_requirements,Unicef Focal Point,,Draft,Edit,TRUE
3.13.1,reporting_requirements,PRC Secretary,,pending_approval,Edit,TRUE
3.13.1,reporting_requirements,Unicef Focal Point,not_ended,Terminated,Edit,TRUE
3.13.1,reporting_requirements,Unicef Focal Point,termination_doc_attached,Active,Edit,TRUE
3.13.1,reporting_requirements,Unicef Focal Point,termination_doc_attached,Approved,Edit,TRUE
3.13.1,reporting_requirements,*,,*,Required,FALSE
,result_links,Partner User,partner_court,Draft,Edit,TRUE
3.13.1,result_links,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.13.1,result_links,PRC Secretary,,pending_approval,Edit,TRUE
3.13.1,result_links,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
,review_date_prc,*,,*,View,TRUE
,review_date_prc,Unicef Focal Point,,pending_approval,Edit,TRUE
,review_date_prc,Review Authorized Officer,,pending_approval,Edit,TRUE
,review_date_prc,Unicef Focal Point,,Review,Edit,TRUE
,review_date_prc,Review Authorized Officer,,Review,Edit,TRUE
,risks,*,,*,View,TRUE
,risks,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
,risks,Partner User,partner_court,Draft,Edit,TRUE
,risks,*,,*,Required,False
,lead_section,Unicef Focal Point,,Draft,Edit,TRUE
,lead_section,Unicef Focal Point,,Review,Edit,TRUE
,lead_section,Unicef Focal Point,,pending_approval,Edit,TRUE
,lead_section,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
,sections,Unicef Focal Point,,Draft,Edit,TRUE
,sections,Unicef Focal Point,,Review,Edit,TRUE
,sections,Unicef Focal Point,,pending_approval,Edit,TRUE
,sections,Unicef Focal Point,user_adds_amendment,*,Edit,TRUE
,signed_by_partner_date,*,,Draft,View,FALSE
,signed_by_partner_date,Partner User,,pending_approval,Edit,TRUE
,signed_by_partner_date,*,,Draft,Required,FALSE
,signed_by_unicef_date,*,,Draft,View,FALSE
,signed_by_unicef_date,Unicef Focal Point,,pending_approval,Edit,TRUE
,signed_by_unicef_date,*,,Draft,Required,FALSE
,signed_pd_attachment,*,,Draft,View,FALSE
,signed_pd_attachment,Unicef Focal Point,,pending_approval,Edit,TRUE
,signed_pd_attachment,*,,Draft,Required,FALSE
,signed_pd_document,*,,Draft,View,FALSE
,signed_pd_document,Unicef Focal Point,,pending_approval,Edit,TRUE
,start,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
,start,Partner User,partner_court,Draft,Edit,TRUE
,start,PRC Secretary,,pending_approval,Edit,TRUE
,submission_date,*,,*,View,TRUE
,submission_date,Unicef Focal Point,,Draft,Edit,TRUE
,submission_date,Partner User,,Draft,Edit,TRUE
,submission_date,*,,Draft,Required,FALSE
,submission_date_prc,*,,*,View,TRUE
,submission_date_prc,Unicef Users Involved,,Review,Edit,TRUE
,supply_items,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
,supply_items,Partner User,partner_court,Draft,Edit,TRUE
,technical_guidance,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
,technical_guidance,Partner User,partner_court,Draft,Edit,TRUE
,termination_doc_attachment,*,,Terminated,Required,TRUE
,title,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
,title,Partner User,partner_court,Draft,Edit,TRUE
,title,*,,*,Required,TRUE
,prc_reviews,Partner User,,*,View,FALSE
,unicef_focal_points,*,not_in_amendment_mode,*,View,TRUE
,unicef_focal_points,Partnership Manager,,*,Edit,TRUE
,unicef_focal_points,Partnership Manager,user_adds_amendment,*,Edit,TRUE
,unicef_focal_points,*,unicef_not_accepted,Draft,Required,FALSE
,sites,*,not_in_amendment_mode,*,View,TRUE
,sites,Unicef Focal Point,not_in_amendment_mode,*,Edit,TRUE
,sites,*,,*,Required,FALSE
,unicef_signatory,*,,Draft,View,FALSE
,unicef_signatory,Unicef Focal Point,,pending_approval,Edit,TRUE
,unicef_accepted,*,,Draft,Edit,TRUE
,unicef_accepted,*,,Draft,Required,FALSE
,partner_accepted,*,,Draft,Required,FALSE
,partner_accepted,*,,Draft,Edit,TRUE
,reviews,PRC Secretary,,Review,Edit,TRUE
,reviews,Overall Approver,,Review,Edit,TRUE
,reviews,Review Authorized Officer,,Review,Edit,TRUE
,reviews,Partner User,,*,View,FALSE
,gdd_prc_reviews,PRC Officer,,Review,Edit,TRUE
,gdd_prc_reviews,UNICEF User,,Draft,View,FALSE
,gdd_prc_reviews,Partner User,,*,View,FALSE
,partner_authorized_officer_signatory,*,,Review,Required,FALSE
,signed_by_partner_date,*,,Review,Required,FALSE
,signed_by_unicef_date,*,,Review,Required,FALSE
,signed_pd_attachment,*,,Review,Required,FALSE
,date_sent_to_partner,*,,Draft,Required,FALSE
,context,*,,,Required,FALSE
,cancel_justification,*,,Cancelled,Required,TRUE
,signed_by_partner_date,*,,pending_approval,Required,FALSE
,signed_by_unicef_date,*,,pending_approval,Required,FALSE
,partner_authorized_officer_signatory,*,,pending_approval,Required,FALSE
,signed_pd_attachment,*,,pending_approval,Required,FALSE
3.2.7,partner_authorized_officer_signatory,Unicef Focal Point,,pending_approval,Edit,TRUE
,signed_by_partner_date,Unicef Focal Point,,pending_approval,Edit,TRUE
,confidential,Unicef Focal Point,,Draft,Edit,TRUE
,confidential,UNICEF User,,*,View,TRUE
,final_review_approved,UNICEF User,,Ended,View,TRUE
,final_review_approved,UNICEF User,,Closed,View,TRUE
,final_review_approved,Unicef Users Involved,,Ended,Edit,TRUE
,prc_reviews,PRC Officer,,Review,Edit,TRUE
,reviews,PRC Secretary,,Review,Edit,TRUE
,reviews,Overall Approver,,Review,Edit,TRUE
,partner_authorized_officer_signatory,*,,pending_approval,Required,FALSE
,partner_authorized_officer_signatory,*,does_not_require_signature,approved,Required,FALSE
,partner_authorized_officer_signatory,*,does_not_require_signature,active,Required,FALSE
,partner_authorized_officer_signatory,*,does_not_require_signature,ended,Required,FALSE
,partner_authorized_officer_signatory,*,does_not_require_signature,closed,Required,FALSE
,partner_authorized_officer_signatory,*,does_not_require_signature,suspended,Required,FALSE
,partner_authorized_officer_signatory,*,does_not_require_signature,terminated,Required,FALSE
,partner_authorized_officer_signatory,*,does_not_require_signature,expired,Required,FALSE
,signed_by_unicef_date,*,does_not_require_signature,*,Required,FALSE
,signed_by_partner_date,*,does_not_require_signature,*,Required,FALSE
,signed_pd_attachment,*,does_not_require_signature,*,Required,FALSE

